Month,NumVisits
2011-01,139029
2011-02,120726
2011-03,304583
2011-04,388363
2011-05,419569
2011-06,544089
2011-07,654871
2011-08,595265
2011-09,410636
2011-10,348203
2011-11,201809
2011-12,171035
2012-01,141357
2012-02,141305
2012-03,291120
2012-04,389777
2012-05,416363
2012-06,549688
2012-07,647953
2012-08,610680
2012-09,448925
2012-10,376225
2012-11,221927
2012-12,186032
2013-01,143405
2013-02,145356
2013-03,359799
2013-04,375899
2013-05,468178
2013-06,613479
2013-07,728543
2013-08,633026
2013-09,465665
2013-10,197742
2013-11,217733
2013-12,216015
2014-01,173458
2014-02,176364
2014-03,353920
2014-04,320348
2014-05,463713
2014-06,563375
2014-07,621953
2014-08,671027
2014-09,488359
2014-10,410933
2014-11,256705
2014-12,256616
2015-01,191781
2015-02,224311
2015-03,437563
2015-04,486989
2015-05,541338
2015-06,614938
2015-07,714911
2015-08,793412
2015-09,525090
2015-10,444363
2015-11,273558
2015-12,272482
2016-01,189103
2016-02,214361
2016-03,504295
2016-04,464922
2016-05,588591
2016-06,700421
2016-07,839086
2016-08,743158
2016-09,578006
2016-10,517791
2016-11,333204
2016-12,296873
2017-01,217102
2017-02,239154
2017-03,502739
2017-04,590006
2017-05,606247
2017-06,726916
2017-07,837258
2017-08,745613
2017-09,571946
2017-10,529825
2017-11,349326
2017-12,338106
